Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
RESSECCAO DE ELEMENTO VERTEBRAL 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
RESSECÇÃO DE GLÂNDULA SALIVAR 	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
RESSECÇÃO DE LESÃO E+ RECONSTRUÇÃO 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECCAO DE TUMOR	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
RESSECCAO DE TUMOR DE PELE + PAROTIDECTOMIA TOTAL + RECONSTRUCAO + RETALHO	 624,45 	 1.110,80 					 624,45 	 1.110,80 	 1.110,80 
RESSECÇÃO DE TUMOR DO DIAFRAGMA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RESSECÇÃO DE TUMOR ÓSSEO/PARTES MOLES	 544,07 	 1.485,11 	 271,03 	 491,96 			 815,10 	 1.977,08 	 2.248,11 
RETOSSIGMOIDECTOIMIA	 2.712,19 	 6.078,85 	 271,03 	 491,96 			 2.983,22 	 6.570,82 	 6.841,85 
RINOFIMA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
RINOPLASTIA + SEPTOPLASTIA + TURBINECTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
RINOSEPTOPLASTIA	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
ROTURA DO MENISCO	 1.084,13 	 1.967,86 					 1.084,13 	 1.967,86 	 1.967,86 
RTU + CISTOSTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
SEGMENTECTOMIA +QUADRANTECTOMIA + SETORECTOMIA	 1.808,06 	 5.525,27 	 650,42 	 1.443,92 			 2.458,48 	 6.969,19 	 7.619,62 
SEPTOPLASTIA + TURBINECTOMIA + ADENOIDECTOMIA 	 271,03 	 491,96 			 272,97 	 532,20 	 544,00 	 1.024,16 	 1.024,16 
SEPTOPLASTIA + TURBINECTOMIA + FARINGOPLASTIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
SEPTOPLASTIA + TURBINECTOMIA + FARINGOPLASTIA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
SEPTOPLASTIA + TURBINECTOMIA + SINUSECTOMIA + POLIPECTOMIA	 542,07 	 983,93 	 271,03 	 491,96 			 813,10 	 1.475,89 	 1.746,93 
SEPTOPLASTIA + TURBINECTOMIA + SINUSOTOMIA	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
SEPTOPLASTIA + TURBINECTOMIA + SINUSOTOMIA 	 1.768,80 	 4.680,64 	 211,84 	 686,19 			 1.980,64 	 5.366,82 	 5.578,66 
SEPTOPLASTIA+TURBINECTOMIA+SINUSECTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
SINDACTILIA	 992,72 	 2.751,75 					 992,72 	 2.751,75 	 2.751,75 
SINDACTILIA 	 1.084,13 	 1.967,86 	 136,52 	 496,58 	 136,52 	 496,58 	 1.357,17 	 2.961,01 	 3.097,52 
SINUSECTOMIA+TURBINECTOMIA	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
TENOTOMIA PERCUTANEA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
TIMPANOMASTOIDECTOMIA	 3.127,64 	 5.958,46 	 908,32 	 1.868,97 	 1.496,49 	 2.520,58 	 5.532,44 	 10.348,01 	 11.256,32 
TRAQUELOPLASTIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
TRATAMENTO C/ CIRURGIAS MÚLTIPLAS 	 8.902,89 	 19.900,51 	 1.666,21 	 4.195,52 			 10.569,11 	 24.096,03 	 25.762,25 
TRATAMENTO CIRÚRGICO DE TUMOR ÓSSEO	 1.357,24 	 2.681,59 	 353,41 	 618,83 			 1.710,66 	 3.300,42 	 3.653,83 
TTO COM CIRURGIAS MULTIPLAS (040704008-0 E 040704006-4)	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
TTO DE DEFEITOS CONGENITOS DO TORAX	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
TTO NEUROCIRÚRGICO DE TUMOR EM NERVO PERIFÉRICO 	 1.300,84 	 2.887,85 					 1.300,84 	 2.887,85 	 2.887,85 
TU CERVICAL + EXCESSO DE PELE EM GLANDE			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
URETEROLITOTOMIA + CISTOLITOTOMIA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
UVULOPLASTIA + FARINGOPLASTIA			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
VARICOCELE +EPIDIMECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
VESICULA + HERNIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
VIDEO HISTEROSCOPIA CIRURGICA	 33.209,56 	 69.512,10 	 5.074,10 	 11.806,18 	 1.727,22 	 3.465,56 	 40.010,88 	 84.783,83 	 89.857,93 
VIDEO HISTEROSCOPIA DIAGNOSTICA	 64.384,90 	 143.651,13 	 17.754,07 	 39.690,13 	 2.546,38 	 6.905,96 	 84.685,35 	 190.247,22 	 208.001,29 
VULVECTOMIA SIMPLES	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
Não Idenfificado	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
ABAIXAMENTO DE CÓLON / FECHAMENTO DE ENTEROSTOMIA	 498,90 	 1.301,15 	 136,52 	 496,58 			 635,41 	 1.797,72 	 1.934,24 
ABAULAMENTO	 1.092,13 	 3.972,60 	 273,03 	 993,15 			 1.365,17 	 4.965,75 	 5.238,79 
ABORDAGEM DE HIDRADENITE			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
ADENECTOMIA+ RECONSTRUÇÃO + BIÓPSIA DE LINFONODO SENTINELA	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
ADENOMASTECTOMIA + RECONSTRUÇÃO	 4.502,57 	 8.836,08 	 136,52 	 496,58 			 4.639,09 	 9.332,66 	 9.469,17 
ADMINISTRAÇÃO DE MEDIÇÃO 	 482,87 	 1.178,15 					 482,87 	 1.178,15 	 1.178,15 
AMPUTAÇÃO+ RECONSTRUÇÃO	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
ANTRECTOMIA	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
APLICAÇÃO INTRATECAL DE MEDICAMENTO	 312,20 	 1.231,02 	 635,51 	 2.058,56 			 947,71 	 3.289,58 	 3.925,09 
ARTROPLASTIA	 544,00 	 1.024,16 	 271,03 	 491,96 			 815,03 	 1.516,13 	 1.787,16 
ARTROSCOPIA 	 498,83 	 840,19 	 498,83 	 840,19 	 545,94 	 1.064,39 	 1.543,60 	 2.744,78 	 3.243,61 
BILOBECTOMIA	 353,41 	 618,83 	 325,21 	 721,96 	 136,52 	 496,58 	 815,14 	 1.837,37 	 2.162,58 
CETOREDUÇÃO			 271,03 	 491,96 			 271,03 	 491,96 	 763,00 
CIRCULACAO EXTRACORPOREA	 682,58 	 2.482,88 	 818,97 	 2.057,54 			 1.501,55 	 4.540,42 	 5.359,39 
COLECISTECTOMIA  + DRENAGEM DE CISTO 	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
COLECISTECTOMIA + HEPATECTOMIA 	 546,07 	 1.986,30 	 273,03 	 993,15 			 819,10 	 2.979,45 	 3.252,48 
COLECISTECTOMIA + HERNIA	 983,64 	 2.058,58 	 409,48 	 1.028,77 			 1.393,12 	 3.087,35 	 3.496,83 
COLESTEATOMA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
COLOSTOMIA + RESSECÇÃO HIDROADENITE	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
COLPOPERINEOPLASTIA  +  HISTERECTOMIA			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
COLPOPERINEOPLASTIA +  INCONTINENCIA URINARIA	 977,86 	 1.729,63 					 977,86 	 1.729,63 	 1.729,63 
COLPORRAFIA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
CONFECÇÃO DE FAV 	 1.380,35 	 3.282,10 	 913,60 	 2.487,78 			 2.293,95 	 5.769,88 	 6.683,48 
CORPO ESTRANHO  + ABSCESSO 					 136,52 	 496,58 	 136,52 	 496,58 	 496,58 
CORREÇÃO DE  CICATRIZ  	 895,48 	 1.602,76 	 1.042,90 	 2.325,31 			 1.938,38 	 3.928,07 	 4.970,97 
CORREÇÃO DE ATRESIA	 1.044,77 	 1.904,59 			 225,86 	 308,00 	 1.270,63 	 2.212,58 	 2.212,58 
CORREÇÃO DE CICATRIZ	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
CORREÇÃO DE ESTENOSE	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
CORREÇÃO DE FÍSTULA 	 1.083,05 	 2.933,50 	 136,52 	 496,58 			 1.219,56 	 3.430,07 	 3.566,59 
CORREÇÃO DE ORELHA	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
CORREÇÃO DE PECTOS 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
CORREÇÃO DE PROLAPSO	 682,45 	 1.560,97 	 225,86 	 308,00 			 908,32 	 1.868,97 	 2.094,83 
CORREÇÃO DE VARICOCELE	 498,83 	 840,19 					 498,83 	 840,19 	 840,19 
CRIPTORQUIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
CURATIVO	 816,97 	 1.556,36 	 1.088,00 	 2.048,32 			 1.904,97 	 3.604,68 	 4.692,68 
DEBRIDAMENTO	 3.321,62 	 7.197,52 	 3.600,12 	 9.114,36 			 6.921,74 	 16.311,87 	 19.912,00 
DEDO EM GATILHO 	 1.084,13 	 1.967,86 	 271,03 	 491,96 			 1.355,17 	 2.459,82 	 2.730,86 
DESCOLAMENTO DE SINÉQUIA			 273,03 	 993,15 			 273,03 	 993,15 	 1.266,18 
DESVIO DE SEPTO + HIPERTROFIA DE AMIGDALAS			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
DESVIO DE SEPTO + POLIPO NASAL	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
DIVERTICULECTOMIA 	 489,93 	 1.115,41 					 489,93 	 1.115,41 	 1.115,41 
DRENAGEM 	 2.027,97 	 4.713,99 	 2.164,29 	 4.164,90 			 4.192,27 	 8.878,88 	 11.043,18 
DRGE	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
ESCLEOROTERAPIA	 70.152,21 	 168.893,24 	 31.816,66 	 84.913,02 	 1.364,84 	 2.660,98 	 103.333,71 	 256.467,24 	 288.283,90 
ESFINCTEROTOMIA	 1.373,33 	 3.205,13 	 546,07 	 1.986,30 			 1.919,39 	 5.191,43 	 5.737,50 
ESOFAGOPLASTIA/GASTROPLASTIA 					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
ESPLENECTOMIA + BIÓPSIA HEPÁTICA			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
ESTENOSE			 498,83 	 840,19 			 498,83 	 840,19 	 1.339,03 
EXERESE CARCINOMA BASOCELULAR	 4.801,30 	 9.285,15 	 2.704,41 	 5.040,05 	 225,86 	 308,00 	 7.731,57 	 14.633,20 	 17.337,62 
EXERESE DE  LESÃO	 950,56 	 1.456,19 	 272,97 	 532,20 	 451,73 	 615,99 	 1.675,25 	 2.604,38 	 2.877,35 
EXERESE DE CALO PLANTAR	 353,41 	 618,83 	 498,83 	 840,19 			 852,24 	 1.459,03 	 1.957,86 
EXERESE DE CARUCULA URETRAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXERESE DE NÓDULO 	 35.710,49 	 80.750,41 	 7.715,36 	 15.141,70 	 1.181,28 	 2.401,16 	 44.607,13 	 98.293,27 	 106.008,63 
FARINGOPLASTIA + SEPTOPLASTIA + TURBINECTOMIA			 325,21 	 721,96 			 325,21 	 721,96 	 1.047,17 
FISTULA ORO-SINUSAL / ORO-NASAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
FÍSTULA URETRAL 					 225,86 	 308,00 	 225,86 	 308,00 	 308,00 
FÍSTULA VESICO-VAGINAL 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
HERNIA  + MIOMATOSE	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
HERNIA + FISTULA BRANQUIAL	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
HEXADACTÍLIA	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
HIPOSPADIA+HERNIA	 546,07 	 1.986,30 			 273,03 	 993,15 	 819,10 	 2.979,45 	 2.979,45 
HISTERECTOMIA  + ANENXECTOMIA  + RETOSSIGMOIDECTOMIA	 312,20 	 1.231,02 					 312,20 	 1.231,02 	 1.231,02 
HISTERECTOMIA  + ANENXECTOMIA + RETOSSIGMOIDECTOMIA	 312,20 	 1.231,02 					 312,20 	 1.231,02 	 1.231,02 
HISTERECTOMIA  + COLPOPERINEOPLASTIA 	 542,07 	 983,93 	 353,41 	 618,83 			 895,48 	 1.602,76 	 1.956,17 
HISTERECTOMIA + ANEXECFOMIA	 1.221,59 	 1.948,15 					 1.221,59 	 1.948,15 	 1.948,15 
HISTERECTOMIA + ANEXECTOMIA 	 724,76 	 1.609,14 					 724,76 	 1.609,14 	 1.609,14 
HISTERECTOMIA + ANEXECTOMIA+CONGELACAO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
HISTERECTOMIA + ANEXOTOMIA	 5.539,88 	 13.912,39 	 1.393,12 	 3.087,35 			 6.933,00 	 16.999,74 	 18.392,85 
HISTERECTOMIA + COLECISTECTOMIA	 1.059,18 	 3.430,94 	 211,84 	 686,19 			 1.271,02 	 4.117,12 	 4.328,96 
HISTERECTOMIA + SALPINGOOFORECTOMIA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
HISTERECTOMIA +HERNIOPLASTIA UMBILICAL	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
HISTERECTOMIA +RESSECCAO	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
HISTERECTOMIA VAGINAL + COLPERINEOPLASTIA 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
HISTERECTOMIA+SALPINGO-OOFORECTOMIA BILATERAL + OMENTECTOMIA + BIOPSIAS PERITONEAIS	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
HISTEROSCOPIA	 3.981,32 	 9.875,91 	 869,21 	 1.746,12 			 4.850,54 	 11.622,03 	 12.491,24 
HISTEROSCOPIA +ANEXETOMIA					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
HSITERECTOMIA 	 8.558,44 	 13.000,20 	 4.846,28 	 6.734,72 	 677,59 	 923,99 	 14.082,31 	 20.658,92 	 25.505,20 
ILEOSTOMIA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA 	 3.292,82 	 10.223,00 	 960,72 	 2.780,52 			 4.253,53 	 13.003,52 	 13.964,24 
INCONTINENCIA URINARIA	 423,67 	 1.372,37 	 211,84 	 686,19 			 635,51 	 2.058,56 	 2.270,40 
INSTALAÇÃO DE CATETER DUPLO J 	 353,41 	 618,83 			 136,52 	 496,58 	 489,93 	 1.115,41 	 1.115,41 
MASTECTOMIA E + BIOPSIA + RECONSTRUÇÃO 	 818,90 	 1.596,59 			 272,97 	 532,20 	 1.091,87 	 2.128,79 	 2.128,79 
MEGAESOFAGO 	 696,64 	 1.904,57 	 696,64 	 1.904,57 			 1.393,28 	 3.809,14 	 4.505,78 
Não  Identificado	 542,07 	 983,93 					 542,07 	 983,93 	 983,93 
NEO DE MAMA + RECONSTRUÇÃO	 272,97 	 532,20 			 272,97 	 532,20 	 545,94 	 1.064,39 	 1.064,39 
NEOPLASIA DE MAMA	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
NEOPLASIA DE PELE	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
ORQUIDOPEXIA + CISTO TIREOGLOSSO			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
ORQUIOPEXIA DIREITA E EXERESE DE CISTO SEBACEO EM NUCA	 423,67 	 1.372,37 	 1.285,93 	 3.502,48 			 1.709,60 	 4.874,86 	 6.160,79 
OSTEOMA, ODONTOMA/ OUTRAS ESPECIFICADAS	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
OSTEOMA/ODONTOMA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
PANCREATECTOMIA  + COLECISTECTOMIA	 409,55 	 1.489,73 					 409,55 	 1.489,73 	 1.489,73 
PENECTOMIA + LINFADENECTOMIA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
POSTECTOMIA + HERNIA	 706,82 	 1.237,66 					 706,82 	 1.237,66 	 1.237,66 
POSTECTOMIA +HERNIA	 706,82 	 1.237,66 	 353,41 	 618,83 			 1.060,23 	 1.856,50 	 2.209,91 
POSTECTOMIA E ORQUIDOPEXIA			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
PROLAPSO ANAL	 136,52 	 496,58 	 211,84 	 686,19 			 348,35 	 1.182,76 	 1.394,60 
PROTESE AUDITIVA ANCORADA NO OSSO UNILATERAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
PTC			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
RECONSTRUÇÃO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
REFLUXO GASTROESOFAGICO	 7.632,69 	 17.461,10 	 1.396,47 	 3.665,93 			 9.029,16 	 21.127,04 	 22.523,51 
RESSECÇÃO TUMORAL DE LESÃO 	 545,94 	 1.064,39 					 545,94 	 1.064,39 	 1.064,39 
ROTURA DE MENISCO 	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
SEPTOPLASTIA + TURBINECTOMIA + ADENOTONSILECTOMIA	 635,51 	 2.058,56 	 211,84 	 686,19 			 847,34 	 2.744,75 	 2.956,58 
SUPRARRENALECTOMIA	 983,86 	 3.241,32 					 983,86 	 3.241,32 	 3.241,32 
TIROIDECTOMIA	 88.607,97 	 202.341,36 	 16.586,78 	 37.325,51 	 1.407,21 	 3.170,11 	 106.601,96 	 242.836,99 	 259.423,77 
TPOSTECTOMIA + EXERESE DE CISTO TIREOGLOSSO	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
TRAQUEORRAFIA E/OU FECHAMENTO DE FISTULA			 225,86 	 308,00 	 451,73 	 615,99 	 677,59 	 923,99 	 1.149,86 
TRATAMENTO CIRURGICO DE PARALISIA FACIAL	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
TRATAMENTO DE MALFORMAÇÃO CONGENITA DO APARELHO URINARIO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
TRATAMENTO DE TRIBUTÁRIAS DE SAFENA MAGNA 	 1.355,17 	 2.459,82 					 1.355,17 	 2.459,82 	 2.459,82 
TROCA DE PRÓTESE + CAPSULECTOMIA + CITOREDUÇÃO DE MAMA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
TUMOR ÓSSEO			 545,94 	 1.064,39 	 272,97 	 532,20 	 818,90 	 1.596,59 	 2.142,53 
TUMORAÇÃO EM HÁLUX			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
TUMORAÇÃO EM REGIÃO DA FACE	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
VIDEO LAPAROSCOPIA + HIATOPLASTIA + COLECISTECTOMIA + HERNIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
AMIGDALECTOMIA + TURBINECTOMIA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
HISTERECTOMIA +ANEXECTOMIA	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
GLOSSECTOMIA	 1.016,97 	 1.921,01 					 1.016,97 	 1.921,01 	 1.921,01 
LAPAROTOMIA + BIÓPSIA	 677,59 	 923,99 					 677,59 	 923,99 	 923,99 
LESÃO DE MANGUITO ROTADOR			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
LESÃO EM REGIAO EPIGÁSTRICA			 136,52 	 496,58 			 136,52 	 496,58 	 633,09 
LIPOASPIRAÇÃO	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
LUXAÇÃO 	 953,55 	 2.513,89 	 225,86 	 308,00 	 409,48 	 1.028,77 	 1.588,90 	 3.850,66 	 4.076,52 
SINDROME DO TUNEL DO CARPO	 19.211,86 	 38.702,90 	 8.882,28 	 17.854,71 	 2.535,94 	 4.584,02 	 30.630,08 	 61.141,63 	 70.023,91 
MAMA + RECONSTRUÇÃO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
SEPTOPLASTIA + AMIGDALECTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
SEPTOPLASTIA + TURBINECTOMIA + EXERESE DE CISTO NASOLABIAL	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
AMIGDALECTOMIA+ADENOIDECTOMIA+SEPTOPLASTIA+TURBINECTOMIA			 211,84 	 686,19 			 211,84 	 686,19 	 898,02 
CALO 	 225,86 	 308,00 	 136,52 	 496,58 			 362,38 	 804,57 	 941,09 
CATETER CARDIACO	 325,21 	 721,96 	 325,21 	 721,96 			 650,42 	 1.443,92 	 1.769,13 
CATETER VENOSO CENTRAL 	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
CATETERISMO 	 325,21 	 721,96 	 271,03 	 491,96 			 596,24 	 1.213,93 	 1.484,96 
CISTO 	 694,71 	 1.864,34 					 694,71 	 1.864,34 	 1.864,34 
EXCISÃO DE NODULO 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EXCISAO E SUTURA COM PLASTICA EM Z 	 565,25 	 1.305,02 	 862,26 	 2.130,11 			 1.427,50 	 3.435,13 	 4.297,39 
EXEERSE DE NODULO	 1.148,37 	 2.520,57 	 272,97 	 532,20 	 272,97 	 532,20 	 1.694,30 	 3.584,96 	 3.857,93 
EXERESE	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
EXERESE  DE LESÃO			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
EXERESE  DE TUMOR	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
EXERESE DE ACROCODONS			 353,41 	 618,83 			 353,41 	 618,83 	 972,24 
EXÉRESE DE ADENOMA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXERESE DE APÉNDICE 	 271,03 	 491,96 	 225,86 	 308,00 			 496,90 	 799,96 	 1.025,83 
EXERESE DE ÁREA DE MICROCALCIFICAÇÕES	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
EXERESE DE BIOPSIA	 813,10 	 1.475,89 	 813,10 	 1.475,89 			 1.626,20 	 2.951,79 	 3.764,89 
EXERESE DE BLASTOMA 			 272,97 	 532,20 	 272,97 	 532,20 	 545,94 	 1.064,39 	 1.337,36 
EXÉRESE DE CARCINOMA ESPINOCELULAR	 1.060,23 	 1.856,50 					 1.060,23 	 1.856,50 	 1.856,50 
EXERESE DE CEC	 225,86 	 308,00 	 353,41 	 618,83 			 579,28 	 926,83 	 1.280,24 
EXERESE DE COLO PLANTAR 			 225,86 	 308,00 			 225,86 	 308,00 	 533,86 
EXERESE DE CORPO ESTRANHO 	 1.521,96 	 3.075,03 					 1.521,96 	 3.075,03 	 3.075,03 
EXERESE DE DESMATOSE 	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXERESE DE DUCTO	 1.030,74 	 2.282,78 	 325,21 	 721,96 			 1.355,95 	 3.004,74 	 3.329,95 
EXERESE DE FIBROMA 	 325,21 	 721,96 	 211,84 	 686,19 			 537,05 	 1.408,15 	 1.619,98 
EXÉRESE DE HEMAGIOMA 	 1.441,58 	 3.449,35 					 1.441,58 	 3.449,35 	 3.449,35 
EXERESE DE HEXADACTILIA	 635,41 	 1.797,72 	 1.039,97 	 1.728,56 			 1.675,38 	 3.526,29 	 4.566,26 
EXÉRESE DE LESÃO + RETALHO	 735,87 	 2.603,39 	 524,03 	 1.917,20 			 1.259,90 	 4.520,59 	 5.044,63 
EXERESE DE LESÕES	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXERESE DE LINFANGIOMA	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXERESE DE LINFONODO	 598,18 	 1.254,16 	 272,97 	 532,20 	 272,97 	 532,20 	 1.144,11 	 2.318,55 	 2.591,52 
EXERESE DE LIPOMAS 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
EXERESE DE MAMA 	 2.475,79 	 4.580,31 			 272,97 	 532,20 	 2.748,76 	 5.112,51 	 5.112,51 
EXERESE DE MAMILO	 423,67 	 1.372,37 					 423,67 	 1.372,37 	 1.372,37 
EXERESE DE MICRICALCIFICAÇÕES DE MAMA	 353,41 	 618,83 					 353,41 	 618,83 	 618,83 
EXERESE DE MICROADENOMA + RETIRADA DE ÁREA SOBREJACENTE	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
EXERESE DE MICROCELULITE 	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
EXERESE DE NEUROFIBROMAS	 451,73 	 615,99 					 451,73 	 615,99 	 615,99 
EXÉRESE DE PAPILOMA	 273,03 	 993,15 	 409,55 	 1.489,73 			 682,58 	 2.482,88 	 2.892,43 
EXERESE DE PELE			 352,20 	 326,45 			 352,20 	 326,45 	 678,65 
EXERESE DE POLIDACTALIA 	 969,61 	 2.436,77 					 969,61 	 2.436,77 	 2.436,77 
EXERESE DE QUELÓIDE 	 5.399,81 	 11.345,35 	 1.079,11 	 2.392,08 			 6.478,93 	 13.737,42 	 14.816,54 
EXERESE DE VERRUGAS 	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
EXERESE LESÃO	 847,34 	 2.744,75 					 847,34 	 2.744,75 	 2.744,75 
EXERESE NÓDULO	 423,67 	 1.372,37 	 225,86 	 308,00 			 649,54 	 1.680,37 	 1.906,24 
HÁLUX 	 273,03 	 993,15 					 273,03 	 993,15 	 993,15 
HIPERTROFIA DE PEQUENOS LABIOS	 272,97 	 532,20 	 757,77 	 1.750,58 			 1.030,74 	 2.282,78 	 3.040,55 
HIPERTROFIA DE PEQUENOS LÁBIOS 	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
LUXAÇAO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
MAMA 	 818,90 	 1.596,59 			 225,86 	 308,00 	 1.044,77 	 1.904,59 	 1.904,59 
OOFORECTOMIA + SALPINGECTOMIA A ESQUERDA + OMENTECTOMIA + BIÓPSIAS PERITONEAIS 			 451,73 	 615,99 			 451,73 	 615,99 	 1.067,72 
PÉ TORTO 			 272,97 	 532,20 			 272,97 	 532,20 	 805,16 
PROCEDIMENTO SEQUENCIAL EM ONCOLOGIA	 3.079,08 	 9.642,39 	 136,52 	 496,58 			 3.215,60 	 10.138,97 	 10.275,49 
PSEUDARTROSE + RETARDO DE CONSOLIDACAO	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
PTOSE PALPEBRAL	 225,86 	 308,00 	 225,86 	 308,00 			 451,73 	 615,99 	 841,86 
ROTURA DE MENISCO	 407,55 	 988,54 	 136,52 	 496,58 			 544,07 	 1.485,11 	 1.621,63 
RUPTURA DE TENDÃO	 271,03 	 491,96 					 271,03 	 491,96 	 491,96 
SALPINGECTOMIA	 225,86 	 308,00 					 225,86 	 308,00 	 308,00 
SCLEROTERAPIA 			 650,42 	 1.443,92 			 650,42 	 1.443,92 	 2.094,34 
